for epoch -1 ; avg training acc : 2.5; avg training loss : 0.0; testing accuracy : -1
for epoch 2 ; avg training acc : 0.9661064429130836; avg training loss : 0.8254168629646301; testing accuracy : 0.9669805847772277
for epoch 3 ; avg training acc : 0.9662887985641891; avg training loss : 0.8142288327217102; testing accuracy : 0.9638551013304455
for epoch 4 ; avg training acc : 0.9666664067298832; avg training loss : 0.8051063418388367; testing accuracy : 0.9642889948174505
for epoch 5 ; avg training acc : 0.9669252437807125; avg training loss : 0.7984335422515869; testing accuracy : 0.9670990292388614
for epoch 6 ; avg training acc : 0.9670824055589681; avg training loss : 0.7919267416000366; testing accuracy : 0.9632326635983911
for epoch 7 ; avg training acc : 0.9671708840410013; avg training loss : 0.7869554162025452; testing accuracy : 0.9670784827506188
for epoch 8 ; avg training acc : 0.9669012496160934; avg training loss : 0.782140851020813; testing accuracy : 0.9664439588490099
for epoch 9 ; avg training acc : 0.9667524857954546; avg training loss : 0.7780930399894714; testing accuracy : 0.9676151086788366
for epoch 10 ; avg training acc : 0.9665686305090602; avg training loss : 0.7749587297439575; testing accuracy : 0.9669310314820545
for epoch 11 ; avg training acc : 0.966558432989097; avg training loss : 0.7729553580284119; testing accuracy : 0.966574489480198
for epoch 12 ; avg training acc : 0.9665989231418919; avg training loss : 0.7697428464889526; testing accuracy : 0.9670349725402227
for epoch 13 ; avg training acc : 0.966502046702242; avg training loss : 0.768576443195343; testing accuracy : 0.9658154780321783
for epoch 14 ; avg training acc : 0.9663424855075246; avg training loss : 0.7672982215881348; testing accuracy : 0.9671993444461634
for epoch 15 ; avg training acc : 0.9663688790886057; avg training loss : 0.764190673828125; testing accuracy : 0.9648292465965347
for epoch 16 ; avg training acc : 0.9663607810580467; avg training loss : 0.7625424265861511; testing accuracy : 0.9661683941831684
for epoch 17 ; avg training acc : 0.9664792522458538; avg training loss : 0.7612999081611633; testing accuracy : 0.9667146890470297
for epoch 18 ; avg training acc : 0.9660647530520577; avg training loss : 0.7604199647903442; testing accuracy : 0.965999187809406
for epoch 19 ; avg training acc : 0.9665359384597666; avg training loss : 0.7591164112091064; testing accuracy : 0.9649936185024752
for epoch 20 ; avg training acc : 0.9666271162853194; avg training loss : 0.7583072185516357; testing accuracy : 0.966995088180693
for epoch 21 ; avg training acc : 0.966287898783016; avg training loss : 0.7574701905250549; testing accuracy : 0.9671050723236386
for epoch 22 ; avg training acc : 0.9665620321137899; avg training loss : 0.7566484808921814; testing accuracy : 0.9666772219214109
for epoch 23 ; avg training acc : 0.9667476869625307; avg training loss : 0.7557664513587952; testing accuracy : 0.9663799021503713
for epoch 24 ; avg training acc : 0.9666055215371622; avg training loss : 0.7563329935073853; testing accuracy : 0.9659109587716584
for epoch 25 ; avg training acc : 0.9668250681434275; avg training loss : 0.7547780275344849; testing accuracy : 0.9670253036045792
for epoch 26 ; avg training acc : 0.9666475113252457; avg training loss : 0.7541477680206299; testing accuracy : 0.9663073851330446
for epoch 27 ; avg training acc : 0.9664744534129299; avg training loss : 0.754061222076416; testing accuracy : 0.9660499497215347
for epoch 28 ; avg training acc : 0.9665371381679976; avg training loss : 0.7534764409065247; testing accuracy : 0.966121258121906
for epoch 29 ; avg training acc : 0.9665461359797297; avg training loss : 0.752522349357605; testing accuracy : 0.9659484258972773
for epoch 30 ; avg training acc : 0.966358081714527; avg training loss : 0.752712070941925; testing accuracy : 0.9656849474009901
for epoch 31 ; avg training acc : 0.9661790252610565; avg training loss : 0.7521470785140991; testing accuracy : 0.9663013420482673
for epoch 32 ; avg training acc : 0.9661130413083538; avg training loss : 0.7518221735954285; testing accuracy : 0.9657345006961634
for epoch 33 ; avg training acc : 0.9662564064419533; avg training loss : 0.7513565421104431; testing accuracy : 0.9669225711633663
for epoch 34 ; avg training acc : 0.9662567063690111; avg training loss : 0.7509778141975403; testing accuracy : 0.9668947729733911
for epoch 35 ; avg training acc : 0.9663082938229423; avg training loss : 0.750262975692749; testing accuracy : 0.9664778001237624
for epoch 36 ; avg training acc : 0.9664648557470823; avg training loss : 0.7491694092750549; testing accuracy : 0.9662372853496287
for epoch 37 ; avg training acc : 0.9664459603424447; avg training loss : 0.7495169639587402; testing accuracy : 0.9656426458075495
for epoch 38 ; avg training acc : 0.966309793458231; avg training loss : 0.7495914101600647; testing accuracy : 0.9669805847772277
for epoch 39 ; avg training acc : 0.9661988204468673; avg training loss : 0.7495381832122803; testing accuracy : 0.966563611927599
for epoch 40 ; avg training acc : 0.9663676793803747; avg training loss : 0.7490769028663635; testing accuracy : 0.9655060720915841
for epoch 41 ; avg training acc : 0.9662872989289005; avg training loss : 0.7482551336288452; testing accuracy : 0.9654577274133663
for epoch 42 ; avg training acc : 0.9661241386094902; avg training loss : 0.7479031085968018; testing accuracy : 0.9646020266089109
for epoch 43 ; avg training acc : 0.9662462089219902; avg training loss : 0.7484011650085449; testing accuracy : 0.9666228341584159
for epoch 44 ; avg training acc : 0.9661154407248157; avg training loss : 0.7472853660583496; testing accuracy : 0.9660330290841584
for epoch 45 ; avg training acc : 0.9662009199362716; avg training loss : 0.7473447322845459; testing accuracy : 0.9634804300742574
for epoch 46 ; avg training acc : 0.9660893470707924; avg training loss : 0.7469735145568848; testing accuracy : 0.9660596186571783
for epoch 47 ; avg training acc : 0.9662594057125307; avg training loss : 0.7466661334037781; testing accuracy : 0.9662131130105198
for epoch 48 ; avg training acc : 0.96634308536164; avg training loss : 0.7477195858955383; testing accuracy : 0.966530979269802
for epoch 49 ; avg training acc : 0.9661199396306818; avg training loss : 0.7467437982559204; testing accuracy : 0.9660970857827971
